country_code,year,medal_count,country_name,gdp,athlete_count,ratio
FRA,1972,22,France,204283485045.514,425,0.05176470588235294
FRA,1976,20,France,373410270417.919,361,0.055401662049861494
FRA,1980,29,France,703525302701.025,244,0.11885245901639344
FRA,1984,67,France,532648802822.187,411,0.1630170316301703
FRA,1988,29,France,1023504019381.13,528,0.054924242424242424
FRA,1992,57,France,1408724907063.2,670,0.08507462686567165
FRA,1996,51,France,1614245416078.98,453,0.11258278145695365
FRA,2000,66,France,1368438363736.87,470,0.14042553191489363
FRA,2004,53,France,2124112242364.04,461,0.11496746203904555
FRA,2008,77,France,2923465651091.26,448,0.171875
FRA,2012,82,France,2681416108537.39,426,0.19248826291079812
FRA,2016,96,France,2465453975282.24,512,0.1875
GAB,2012,1,Gabon,17171446922.2104,21,0.047619047619047616
GBR,1960,28,United Kingdom,72328047042.1588,428,0.06542056074766354
GBR,1964,28,United Kingdom,93387598813.9269,366,0.07650273224043716
GBR,1968,19,United Kingdom,104702736248.084,392,0.04846938775510204
GBR,1972,29,United Kingdom,169965034965.035,504,0.057539682539682536
GBR,1976,32,United Kingdom,232614555256.065,423,0.07565011820330969
GBR,1980,47,United Kingdom,564947710899.373,404,0.11633663366336634
GBR,1984,71,United Kingdom,461487097632.349,587,0.12095400340715502
GBR,1988,54,United Kingdom,910122732123.799,567,0.09523809523809523
GBR,1992,50,United Kingdom,1179659529659.53,602,0.08305647840531562
GBR,1996,26,United Kingdom,1408781591263.65,391,0.06649616368286446
GBR,2000,54,United Kingdom,1647951278559.54,415,0.13012048192771083
GBR,2004,57,United Kingdom,2398555474185.28,360,0.15833333333333333
GBR,2008,81,United Kingdom,2890564338235.29,420,0.19285714285714287
GBR,2012,126,United Kingdom,2662085168498.93,684,0.18421052631578946
GBR,2016,145,United Kingdom,2647898654635.24,478,0.303347280334728
GEO,1996,2,Georgia,3094915505.9093,42,0.047619047619047616
GEO,2000,6,Georgia,3057453482.55826,47,0.1276595744680851
GEO,2004,4,Georgia,5125273880.74998,39,0.10256410256410256
GEO,2008,6,Georgia,12795044472.7663,38,0.15789473684210525
GEO,2012,7,Georgia,15846474595.773,36,0.19444444444444445
GEO,2016,7,Georgia,14378016729.1587,45,0.15555555555555556
GHA,1960,1,Ghana,1217230094.97205,15,0.06666666666666667
GHA,1964,1,Ghana,1731296199.52296,40,0.025
GHA,1972,1,Ghana,2112293279.98507,41,0.024390243902439025
GHA,1992,20,Ghana,6413901601.83066,41,0.4878048780487805
GUY,1980,1,Guyana,603200000,10,0.1
HKG,1996,1,"Hong Kong SAR, China",159717233621.659,32,0.03125
HKG,2004,2,"Hong Kong SAR, China",169099768875.193,42,0.047619047619047616
HKG,2012,1,"Hong Kong SAR, China",262629441493.476,55,0.01818181818181818
HUN,1992,45,Hungary,38724945367.8583,413,0.1089588377723971
HUN,1996,43,Hungary,46659796772.5473,315,0.1365079365079365
