country_code,year,death_rate
SYC,1990,66.2284555187207
SYC,1991,65.71393281094143
SYC,1992,64.85086612925464
SYC,1993,63.500791894865195
SYC,1994,61.80192436192496
SYC,1995,60.130696720820644
SYC,1996,58.8013231738687
SYC,1997,57.2612345086766
SYC,1998,56.141785603615
SYC,1999,54.372399056990005
SYC,2000,52.69900688521713
SYC,2001,51.25298505364253
SYC,2002,50.48023487596121
SYC,2003,50.111566271298095
SYC,2004,49.89076420362507
SYC,2005,49.910615854934264
SYC,2006,49.02126247423755
SYC,2007,47.93134671090704
SYC,2008,47.68630291214262
SYC,2009,47.4940498041608
SYC,2010,46.6283011293643
SYC,2011,46.6757865452578
SYC,2012,46.277569651105935
SYC,2013,44.92864897308223
SYC,2014,44.40330090927138
SYC,2015,43.19669307413467
SYC,2016,43.12389498068841
SYC,2017,42.32630251704251
SLE,1990,211.68666072209373
SLE,1991,211.16335525453567
SLE,1992,209.6041825087632
SLE,1993,202.3460154116877
SLE,1994,199.51953640394999
SLE,1995,198.28074211938534
SLE,1996,196.21636446040006
SLE,1997,199.27093199615837
SLE,1998,198.60656492337444
SLE,1999,196.85852414752551
SLE,2000,196.06215927618544
SLE,2001,196.43268056089457
SLE,2002,196.4789553969358
SLE,2003,194.59670810552626
SLE,2004,194.12146792710945
SLE,2005,192.2101775127633
SLE,2006,189.91376096329105
SLE,2007,187.51423740224524
SLE,2008,182.68809075782974
SLE,2009,179.60795765277385
SLE,2010,177.89510272037177
SLE,2011,173.80628367241374
SLE,2012,170.69919825109776
SLE,2013,165.06196160406793
SLE,2014,160.12056903982023
SLE,2015,156.9118728561813
SLE,2016,152.9037149503743
SLE,2017,149.59833720319767
SGP,1990,52.922205536522476
SGP,1991,50.76852248864954
SGP,1992,49.1388550161238
SGP,1993,47.879257974916165
SGP,1994,47.1332722466054
SGP,1995,46.29214554670189
SGP,1996,44.31543500691354
SGP,1997,42.06368782997412
SGP,1998,40.97868971498156
SGP,1999,39.490958204831884
SGP,2000,38.33181654555363
SGP,2001,37.62330999584312
SGP,2002,36.63027909777717
SGP,2003,34.442231859572594
SGP,2004,34.10023844856929
SGP,2005,33.31101352538868
SGP,2006,31.7201244518013
SGP,2007,30.299352930434637
SGP,2008,29.18305657697714
SGP,2009,26.761325911776044
SGP,2010,25.454235357202986
SGP,2011,23.989751854389045
SGP,2012,24.163979869428708
SGP,2013,21.93842669565277
SGP,2014,20.394963398447025
SGP,2015,21.70642760931517
SGP,2016,19.932635819194875
SGP,2017,19.980127647036646
SVK,1990,78.48054486805664
SVK,1991,75.91984009563578
SVK,1992,73.00989895328313
SVK,1993,69.83051143336594
SVK,1994,66.32192128010897
SVK,1995,65.62054788400314
SVK,1996,62.63671372145151
SVK,1997,63.270507866744
SVK,1998,62.30164662151348
SVK,1999,60.20010659891344
SVK,2000,57.91105667848787
SVK,2001,56.93275634279145
SVK,2002,55.411840849162324
SVK,2003,54.6021479407351
SVK,2004,53.042693153246866
SVK,2005,53.404350504499845
SVK,2006,52.421115204904154
SVK,2007,52.12708242025355
SVK,2008,50.04299155847037
SVK,2009,48.55207295848238
SVK,2010,46.28181300302862
SVK,2011,44.809964651354704
SVK,2012,41.48737790804382
